source,target,weight
0,43,0.120365
0,1588,0.092146
0,292,0.048991
0,1916,0.114299
0,1735,0.040641
0,1558,0.049386
1,904,0.09394
1,497,0.039633
1,2483,0.070627
1,614,0.082905
1,534,0.035166
2,2219,0.067965
2,208,0.073057
2,2165,0.127441
2,320,0.057953
3,394,0.290384
3,331,0.040447
3,1211,0.128048
3,782,0.041754
4,815,0.063561
4,28,0.035621
4,663,0.055513
4,315,0.12294
4,745,0.037631
4,2621,0.03939
4,1907,0.061359
4,1274,0.117212
4,356,0.045372
4,2163,0.064963
4,1932,0.068163
4,647,0.039542
4,2024,0.042755
5,2291,0.089611
5,629,0.035404
5,527,0.117191
5,780,0.087966
5,1592,0.105613
5,1652,0.038904
6,182,0.066247
6,96,0.079142
6,680,0.047121
6,1292,0.037879
7,748,0.049008
7,628,0.043514
7,2314,0.048739
7,742,0.100437
8,319,0.428833
8,733,0.123642
8,1697,0.112064
8,1570,0.047161
8,175,0.091842
8,2086,0.259861
8,585,0.105564
8,2334,0.080993
8,1803,0.047021
8,1265,0.035084
8,1503,0.084424
8,465,0.035503
9,1154,0.110862
9,288,0.163336
9,1365,0.148603
9,244,0.210735
10,81,0.067568
10,728,0.052332
10,1385,0.066584
10,389,0.049228
10,2340,0.053159
11,564,0.040944
11,2611,0.078768
11,69,0.05454
13,970,0.196637
13,1372,0.182003
13,1460,0.114387
13,1791,0.040387
13,2874,0.035806
14,1047,0.102738
14,1206,0.050356
14,1427,0.038278
15,708,0.063031
15,24,0.158982
15,2159,0.041646
15,622,0.099353
15,134,0.062808
15,1932,0.060052
15,1203,0.095813
15,172,0.064719
15,1239,0.057295
16,922,0.039591
17,87,0.137039
17,25,0.035404
17,885,0.051402
17,1971,0.080884
17,1975,0.11929
18,2036,0.189534
18,561,0.104469
18,2029,0.09182
18,1877,0.059412
18,1031,0.072565
19,124,0.079061
19,1003,0.059308
19,2484,0.05512
19,1159,0.070417
19,1326,0.044166
19,1776,0.039421
20,71,0.260719
20,1253,0.104614
20,1872,0.098897
20,137,0.077873
20,1404,0.118142
20,1526,0.058767
20,1729,0.060916
20,2337,0.059424
20,707,0.100886
20,1052,0.119761
20,2792,0.054384
21,1099,0.162849
21,117,0.037624
21,1263,0.057527
21,2159,0.06983
21,391,0.066649
22,303,0.041293
22,47,0.050013
24,87,0.11096
24,472,0.139835
24,620,0.048362
25,86,0.073871
25,87,0.202591
25,2537,0.078022
25,117,0.076561
25,88,0.152722
25,300,0.064989
25,1239,0.083022
25,1726,0.063207
25,430,0.038924
26,1131,0.038001
27,56,0.090213
27,511,0.040385
27,1008,0.054516
27,634,0.084229
27,2709,0.038531
27,1022,0.040485
28,797,0.045129
28,353,0.31006
28,267,0.064259
28,1106,0.04431
28,274,0.039944
28,713,0.077113
28,1268,0.06299
28,159,0.035429
28,68,0.077513
28,999,0.043462
28,290,0.051506
28,622,0.151621
29,675,0.044312
29,1176,0.104243
29,1688,0.054346
29,1469,0.046861
29,322,0.051158
30,236,0.04285
30,373,0.137223
30,814,0.237532
30,75,0.040304
30,231,0.071846
30,2091,0.038244
30,1231,0.096212
30,2090,0.037636
31,87,0.041297
31,242,0.129899
31,2469,0.078545
31,1498,0.044224
31,1126,0.03539
31,2648,0.045912
31,2581,0.086811
31,1188,0.09159
31,2052,0.073555
32,2472,0.049734
33,268,0.092993
33,1877,0.036119
33,2036,0.084294
33,1373,0.055876
33,903,0.039217
33,561,0.043714
33,2052,0.058348
34,53,0.441946
34,782,0.036039
34,58,0.0351
34,2032,0.13934
34,1011,0.06745
35,977,0.035019
35,786,0.303554
35,1030,0.063591
35,713,0.069447
35,1523,0.061694
35,1425,0.037793
35,212,0.096528
35,198,0.047856
35,1828,0.06703
35,1444,0.045858
36,478,0.039858
36,1551,0.041763
36,1790,0.050338
37,281,0.139403
37,311,0.048664
37,167,0.074247
37,1923,0.046946
37,235,0.061535
37,166,0.051233
37,1951,0.138993
37,2170,0.10332
37,2158,0.056426
37,2171,0.062956
37,259,0.044655
37,168,0.055316
38,2595,0.096745
38,1620,0.042094
38,257,0.041124
38,2752,0.037203
38,2820,0.083462
38,2475,0.039088
39,847,0.109325
39,1666,0.039622
39,1072,0.043457
39,1467,0.038754
40,1262,0.147111
40,426,0.221049
40,1377,0.154012
40,509,0.118851
41,1030,0.18262
41,237,0.038713
41,1222,0.056275
41,1901,0.110436
41,689,0.067796
42,1140,0.091683
43,400,0.058972
43,846,0.062869
43,302,0.059656
43,266,0.059948
44,1351,0.036368
44,310,0.089835
45,1002,0.038149
45,2192,0.120532
45,1246,0.24101
45,964,0.050103
46,2767,0.051283
46,1415,0.040296
46,170,0.039653
46,2633,0.101545
46,2530,0.051601
47,2808,0.326857
47,303,0.064734
47,2601,0.070023
47,2289,0.100837
47,2107,0.118657
48,1544,0.064888
48,238,0.094877
48,266,0.036191
49,686,0.052092
49,403,0.068677
49,1492,0.048473
49,1124,0.04714
49,2543,0.096787
49,154,0.060547
49,1698,0.035439
49,636,0.059344
49,416,0.060553
49,1972,0.044169
49,2709,0.046131
49,1950,0.049027
50,588,0.043532
50,354,0.040372
51,52,0.337891
51,521,0.081855
51,168,0.043353
52,1019,0.174921
52,439,0.085187
52,423,0.047519
52,382,0.053174
52,193,0.045844
52,457,0.081843
53,80,0.080228
53,1011,0.377962
53,439,0.075735
53,459,0.090191
53,2032,0.233021
53,2038,0.047882
53,668,0.041931
53,2304,0.078374
53,1973,0.044013
54,1878,0.096787
54,258,0.085412
54,917,0.144622
54,1115,0.039777
54,522,0.05626
54,703,0.050882
54,946,0.042366
54,185,0.075572
55,540,0.036975
56,511,0.091778
56,1023,0.114441
56,497,0.041105
56,2201,0.039533
56,2768,0.050738
56,956,0.039499
57,637,0.060456
57,368,0.068892
58,736,0.041136
58,680,0.055912
58,182,0.037807
59,1140,0.069266
60,2096,0.066291
61,952,0.070653
61,2305,0.12582
61,1528,0.143459
61,980,0.040916
61,1334,0.113278
61,2354,0.072493
62,92,0.107872
62,719,0.148642
64,1998,0.050234
64,2212,0.083905
64,302,0.042897
64,961,0.063844
64,98,0.0437
64,512,0.052491
64,1823,0.066449
64,1839,0.09104
64,937,0.099147
64,1589,0.040589
65,2299,0.077844
65,2247,0.045987
65,1983,0.058682
66,1173,0.141663
66,71,0.086342
66,992,0.054282
66,1210,0.289756
67,243,0.050805
67,1457,0.035264
68,1206,0.111139
68,1170,0.076989
68,1157,0.201272
68,2285,0.117503
68,454,0.051518
68,2445,0.037828
68,2439,0.080135
68,2192,0.06501
68,2010,0.088518
68,1833,0.058085
68,2079,0.04521
68,1246,0.086253
68,1073,0.036871
68,1171,0.045821
68,347,0.071247
68,1360,0.146395
69,2698,0.042533
70,353,0.037898
70,2216,0.061484
70,1757,0.085807
70,1880,0.082005
70,1295,0.114293
70,428,0.038578
70,2293,0.043688
70,1106,0.072654
70,1384,0.07369
70,155,0.046641
70,1837,0.05271
70,2221,0.058575
70,1599,0.045632
71,145,0.075332
71,2086,0.070011
71,190,0.12091
71,1796,0.09548
71,1435,0.052358
71,2447,0.043363
71,1936,0.049783
71,200,0.118969
71,1655,0.056032
71,1797,0.086237
71,1686,0.045528
71,1236,0.084916
71,2047,0.056316
71,1933,0.043206
71,1749,0.037581
72,220,0.166068
72,1887,0.04976
72,1802,0.184184
72,832,0.176473
72,1462,0.143853
72,2386,0.053285
72,650,0.053263
72,479,0.061416
72,491,0.062615
72,2437,0.080701
72,822,0.040802
