id,label,size,metacluster,metaCLU,x,y,docs_speed_sym,top_terms
0,First Amendment * Establishment Clause * Abortion Content,174,15,#28D6C5,3912.138916,1526.050293,0.01125,first amendment|establishment clause|abortion content|book challenge|public school library|free speech|conservative area|supreme court|censorship|free exercise clause|freedom of speech|controversial content|book acquisition|fourteenth amendment
1,Jews * Holocaust Education * Jewish Education,233,12,#28D660,7146.314453,-1276.581787,0.026130236,jews|holocaust education|jewish education|arab teacher|israel education|holocaust|judaism|pluralistic stance|cross cultural exposure|antisemitism|palestinian authority|shared citizenship|mature zionism|jewish teacher|israel
2,Root Canal * Endodontic * Root Canal Treatment,135,4,#D6AF28,-11396.08203,2826.424316,-0.101775148,root canal|endodontic|root canal treatment|endodontic treatment|root canal obturation|root canal therapy|root canal preparation|root canal filling|gutta percha|dental pulp cavity|periapical radiograph|obturation length|obturation density|anterior tooth
3,Lung Function * Forced Expiratory Volume * Spirometry,118,6,#BAD628,-10111.9707,2737.976318,-0.034663866,lung function|forced expiratory volume|spirometry|forced vital capacity|pulmonary function|respiratory muscle|fev1|peak expiratory flow|fvc|cystic fibrosis|fractional exhaled nitric oxide|respiratory muscle strength|maximum expiratory pressure|feno
4,Autism Spectrum Disorder * Autistic Trait * Autism Spectrum,246,8,#77D628,365.768188,-4336.617676,0.033327104,autism spectrum disorder|autistic trait|autism spectrum|repetitive behavior|autism|diagnostic timing|systemizing|camouflaging|autism diagnosis|autism diagnostic observation schedule|autism spectrum quotient|restricted behavior|pervasive developmental disorder|psychiatric burden|ascertainment strategy
5,Asia * Middle East * Europe,95,7,#98D628,-1122.287354,1637.484009,-0.030327151,asia|middle east|europe|Africa|north africa|north america|smartphone penetration|mena region|khbrat program|caribbean|latin america|asean|oaxaca
6,Dtap Vaccine * Poliovirus Vaccine * Diphtheria Vaccine,93,6,#BAD628,-11945.32813,2768.29541,-0.094555874,DTaP vaccine|poliovirus vaccine|diphtheria vaccine|mumps vaccine|mmr vaccine|varicella vaccine|rubella vaccine|exemption rate|polio vaccine|vaccination exemption|provisional enrollment|tetanus vaccine|measles vaccine
7,Ontological Multiplicity * Epistemological Multiplicity,90,2,#D66B28,2189.163818,3444.657471,0.1306734992679356,ontological multiplicity|epistemological multiplicity|sustainability ethos|posthuman concept|ontological possibility|epistemological possibility|sustainability knowledge|epistemic assumption|sustainability consciousness|sustainability attitude|binary thinking|ontological assumption|sustainability behavior
8,Large Language Model * Chatgpt * Chatbot,222,11,#28D63F,-2498.806152,-1690.88269,3.024455857177794,large language model|chatgpt|chatbot|llm|retrieval augmented generation|gpt 4|lmms|generative a.i|gpt 3.5|point of contention|multimodal ai model|chatgpt 3.5|genai|(generative) artificial intelligence|vector database
9,Programmable Logic Controller * Plc * Digital Twin Platform,115,5,#D6D028,-714.55896,5136.378906,0.089567534,0|programmable logic controller|plc|digital twin platform|avr technology|industry 4.0|computer tutor|industrial internet|iiot|industry 4|pneumatic systems|industrial internet of thing|programmable logic|technology context
10,Fuzzy Logic Model * Membership Function * Fuzzy Programming,84,13,#28D682,-1956.630493,536.389099,0.1413398692810457,fuzzy logic model|membership function|fuzzy programming|anfis|0 1 integer programming|fuzzy programming technique|adaptive neuro fuzzy|fsqca|Fuzzy -set qualitative comparative analysis|fuzzy set|fermatean fuzzy|adaptive neuro fuzzy inference system|fuzzy inference
11,Polkadot * Cardano * Web 2,31,13,#28D682,1767.897339,-391.191833,-0.15098242,polkadot|cardano|web 2|web 3.0|decentralized exchange|web 2.0|tac|web 2.0. tool|web 2.0 technology|0 technology|0 tool|tep
13,Talent Training * Innovation Chain * Talent Chain,220,13,#28D682,1080.645142,2651.013428,0.1894667544437129,talent training|innovation chain|talent chain|talent cultivation strategy|education chain|industry education integration|new engineering|industrial chain|discrepant analysis|industry integration|school enterprise cooperation|innovative talent|practical ability|certificate system|strong ability
